agency_nbr,agency,status
629,Illinois Dept of Natural Resources,Active
630,Illinois Dept of Revenue,Active
631,Illinois & Midland Railroad Police,Inactive
632,Illinois Attorney General,Active
633,Illinois Central College Police Dep,Active
634,Illinois Commerce Commission Police,Active
635,Illinois Dept of Corrections,Inactive
636,Illinois Gaming Board Police,Active
637,Illinois Inst Of Tech Police Dept,Inactive
638,Illinois Liquor Control Commission,Active
639,Illinois Securities Department,Active
640,Illinois State University Police,Active
641,Illiopolis Police Dept,Inactive
642,Ina Police Dept,Active
643,Indian Head Park Police Dept,Active
644,Indiana Harbor Belt RR Police,Active
645,Indiana Harbor R.R. Police,Inactive
646,Indianola Police Dept,Active
647,Inverness Police Dept,Active
648,Iowa Interstate Railroad Police,Inactive
649,Iroquois Co Circuit Clerk,Active
650,Iroquois Co Coroner's Office,Inactive
651,Iroquois Co State's Attorney,Active
652,Iroquois County Sheriff's Office,Active
653,Irving Police Dept,Active
654,Irvington Police Dept,Active
655,Island Lake Police Dept,Active
656,Itasca Police Dept,Active
657,Iuka Police Dept,Active
658,Jackson Co Circuit Clerk,Active
659,Jackson Co Coroner's Office,Inactive
660,Jackson Co State's Attorney,Active
661,Jackson County Sheriff's Office,Active
662,Jacksonville Police Dept,Active
663,Jasper Co Circuit Clerk,Active
664,Jasper Co Coroner's Office,Inactive
665,Jasper Co State's Attorney,Inactive
666,Jasper County Sheriff's Office,Active
667,Jefferson Co Circuit Clerk,Active
668,Jefferson Co Coroner's Office,Inactive
669,Jefferson Co State's Attorney,Active
670,Jefferson County Sheriff's Office,Active
671,Jerome Police Dept,Active
672,Jersey Co Circuit Clerk,Active
673,Jersey Co Coroner's Office,Inactive
674,Jersey Co State's Attorney,Active
675,Jersey County Sheriff's Office,Active
676,Jerseyville Police Dept,Active
677,Jo Daviess Co Circuit Clerk,Active
678,Jo Daviess Co Coroner's Office,Inactive
679,Jo Daviess Co State's Attorney,Active
680,Jo Daviess County Sheriff's Office,Active
681,John A Logan College Police Dept,Active
682,Cook County Hospital System Police,Active
683,John Wood Comm. College Police Dept,Active
684,Johnsburg Police Dept,Active
685,Johnson Co Circuit Clerk,Active
686,Johnson Co Coroner's Office,Inactive
687,Johnson Co State's Attorney,Inactive
688,Johnson County Sheriff's Office,Active
689,Johnston City Police Dept,Active
690,Joliet Junior College Police Dept,Active
691,Joliet Police Dept,Active
692,Jonesboro Police Dept,Active
693,Joppa Police Department,Active
694,Joy Police Dept,Inactive
695,Junction City Police Dept,Active
696,Justice Police Dept,Active
697,Kane Co Circuit Clerk,Active
698,Kane Co Coroner's Office,Inactive
699,Kane Co Forest Pres Police Dept,Active
700,Kane Co State's Attorney,Active
701,Kane County Sheriff's Office,Active
702,Kane Police Dept,Inactive
703,Kankakee Co Circuit Clerk,Active
704,Kankakee Co Coroner's Office,Inactive
705,Kankakee Co State's Attorney,Active
706,Kankakee County Probation,Active
707,Kankakee County Sheriff's Office,Active
708,Kankakee Police Dept,Active
709,Kansas Police Dept,Active
710,Kappa Police Department,Inactive
711,Karnak Police Dept,Active
712,Keithsburg Police Dept,Active
713,Kendall Co Circuit Clerk,Active
714,Kendall Co Coroner's Office,Inactive
715,Kendall Co State's Attorney,Inactive
716,Kendall County Sheriff's Office,Active
717,Kenilworth Police Dept,Active
718,Kenney Police Dept,Inactive
719,Kewanee Park Dist Police Dept,Inactive
720,Kewanee Police Dept,Active
721,Keyesport Police Department,Active
722,Kilbourne Police Department,Active
723,Kildeer Police Dept,Active
724,Kincaid Police Dept,Active
725,Kingston Police Dept,Active
726,Kinmundy Police Dept,Active
727,Kirkland Police Dept,Active
728,Knox Co Circuit Clerk,Active
729,Knox Co Coroner's Office,Inactive
730,Knox Co State's Attorney,Inactive
731,Knox College Police Dept,Inactive
732,Knox County Sheriff's Office,Active
733,Knoxville Police Dept,Active
734,La Fayette Police Dept,Inactive
735,La Grange Park Police Dept,Active
736,La Grange Police Dept,Active
737,La Moille Police Dept,Active
738,Lacon Police Dept,Active
739,Ladd Police Dept,Active
740,Laharpe Police Dept,Active
741,Lake Bluff Police Dept,Active
742,Lake Co Circuit Clerk,Active
743,Lake Co Coroner's Office,Inactive
744,Lake Co Forest Pres Police Dept,Active
745,Lake Co Sheriff Offc. Marine Unit,Active
746,Lake Co State's Attorney,Active
747,Lake County Sheriff's Office,Active
748,Lake Forest Police Dept,Active
